2461215	2026-06-23	1.000	
2461216	2026-06-24	1.000	
2461217	2026-06-25	1.000	
2461218	2026-06-26	1.000	
2461219	2026-06-27	0.250	
2461220	2026-06-28	0.250	
2461221	2026-06-29	1.000	slow:9
2461222	2026-06-30	1.000	
2461223	2026-07-01	1.000	
2461224	2026-07-02	1.000	
2461225	2026-07-03	1.000	
2461226	2026-07-04	0.250	
2461227	2026-07-05	0.250	
2461228	2026-07-06	1.000	storm
2461229	2026-07-07	1.000	
2461230	2026-07-08	1.000	
2461231	2026-07-09	1.000	slow:15
2461232	2026-07-10	1.000	
2461233	2026-07-11	0.250	
2461234	2026-07-12	0.250	
2461235	2026-07-13	1.000	
2461236	2026-07-14	1.000	
2461237	2026-07-15	1.000	
2461238	2026-07-16	1.000	
2461239	2026-07-17	1.000	
2461240	2026-07-18	0.250	
2461241	2026-07-19	0.250	
2461242	2026-07-20	1.000	
2461243	2026-07-21	1.000	
2461244	2026-07-22	1.000	slow:8
2461245	2026-07-23	2.600	spike
2461246	2026-07-24	1.000	
2461247	2026-07-25	0.250	
2461248	2026-07-26	0.250	
2461249	2026-07-27	1.000	
2461250	2026-07-28	1.000	
2461251	2026-07-29	1.000	
2461252	2026-07-30	1.000	
2461253	2026-07-31	1.000	
2461254	2026-08-01	0.250	
2461255	2026-08-02	0.250	
2461256	2026-08-03	1.000	
2461257	2026-08-04	1.000	
2461258	2026-08-05	1.000	storm
2461259	2026-08-06	1.000	
2461260	2026-08-07	1.000	
2461261	2026-08-08	0.250	
2461262	2026-08-09	0.250	
2461263	2026-08-10	1.000	
2461264	2026-08-11	1.000	
2461265	2026-08-12	2.600	spike
2461266	2026-08-13	1.000	
2461267	2026-08-14	1.000	
2461268	2026-08-15	0.250	slow:14
2461269	2026-08-16	0.250	
2461270	2026-08-17	1.000	
2461271	2026-08-18	2.600	spike
2461272	2026-08-19	1.000	
2461273	2026-08-20	1.000	
2461274	2026-08-21	1.000	
2461275	2026-08-22	0.250	
2461276	2026-08-23	0.250	
2461277	2026-08-24	1.000	slow:13
2461278	2026-08-25	1.000	
2461279	2026-08-26	1.000	
2461280	2026-08-27	1.000	
2461281	2026-08-28	1.000	
2461282	2026-08-29	0.250	
