production	2461248	2026-07-26	0.250	
production	2461249	2026-07-27	1.000	
production	2461250	2026-07-28	1.000	
production	2461251	2026-07-29	1.000	
production	2461252	2026-07-30	1.000	
production	2461253	2026-07-31	1.000	
production	2461254	2026-08-01	0.250	
production	2461255	2026-08-02	0.250	
production	2461256	2026-08-03	1.000	
production	2461257	2026-08-04	1.000	
production	2461258	2026-08-05	1.000	storm
production	2461259	2026-08-06	1.000	
production	2461260	2026-08-07	1.000	
production	2461261	2026-08-08	0.250	
production	2461262	2026-08-09	0.250	
production	2461263	2026-08-10	1.000	
production	2461264	2026-08-11	1.000	
production	2461265	2026-08-12	2.600	spike
production	2461266	2026-08-13	1.000	
production	2461267	2026-08-14	1.000	
production	2461268	2026-08-15	0.250	
production	2461269	2026-08-16	0.250	
production	2461270	2026-08-17	1.000	
production	2461271	2026-08-18	1.000	
production	2461272	2026-08-19	1.000	
production	2461273	2026-08-20	1.000	
production	2461274	2026-08-21	1.000	
production	2461275	2026-08-22	0.250	
production	2461276	2026-08-23	0.250	
production	2461277	2026-08-24	1.000	
production	2461278	2026-08-25	1.000	
production	2461279	2026-08-26	1.000	
production	2461280	2026-08-27	1.000	
production	2461281	2026-08-28	1.000	
production	2461282	2026-08-29	0.250	
