Status, Account, Login, UserClass, UserType, Application, Transfer Site, Direction, Action By, File, Remote Partner, Transfer Profile, Transfer Content Type, Remote Folder, Local Filename, Local Folder, ICAP Details, Local File, Size, Protocol, Secure, Mode, Start Time, End Time, Duration, Remote Host, Remote Port, Proxy Host, Transfer ID, Session ID, Session Start Time, Operation Index, Pesit Message, CoreId, Resubmitted, Additional info, X-Forwarded-For, SecurityParameters, Server Name, Alternated Addresses, Server Address
"Processed","SECURETRANSPORT","P00001_CFT01","VirtClass","Virtual","FlowManagerApplication","P00001_CFT01","Outbound","Server","AcmeCDV_KRP-TDI_WONKA_20260624085829_282781.zip","UNKNOWN","CDV_KRP-TDI_WONKA","FILE","/","AcmeCDV_KRP-TDI_WONKA_20260624085829_282781.zip","/","Scanning was not performed","/data/FlowManager/SECURETRANSPORT/AcmeCDV_KRP-TDI_WONKA_20260624085829_282781.zip",132384,"pesit","true","BINARY","06/24/2026 23:50:33.250","06/24/2026 23:50:33.665","415 ms","192.0.2.20","17627","UNKNOWN","0345cdbb-f17a-4b97-8c8a-239d439518c9","574c616543337a4f4e6f6761353756617949576676325779397231424239356c4a635949574856456f64633d","06/24/2026 23:50:32.018","UNKNOWN","UNKNOWN","d584d366-eb03-4269-9960-b5f915b802bd","false","UNKNOWN","UNKNOWN","Protocol: TLSv1.3 Cipher suite: TLS_AES_128_GCM_SHA256.",Pesit Default,"UNKNOWN","192.0.2.76"
"Processed","CDV-KRP-TDI-WONKA@FE171691","FE171691","VirtClass","Virtual","FlowManagerApplication","UC4_CDV_KRP-TDI_WONKA_SCP_CDV_KRP-TDI_WONKA_PWD","Inbound","User","AcmeCDV_KRP-TDI_WONKA_20260624085829_282781.zip","UNKNOWN","UNKNOWN","FILE","Upload/","AcmeCDV_KRP-TDI_WONKA_20260624085829_282781.zip","/","ALLOWED;ICAP server Name: acme-av;ICAP server URL: icap://av.mft.acme.example:1344/AVSCAN;Duration of Scanning: 221 ms;ICAP Status: 204 No Modifications Needed;Result of Scanning: ALLOW;ResultMessage: Transfer ALLOWED. ICAP status: 204 No Modifications Needed;Custom Headers: None#","/data/FlowManager/CDV-KRP-TDI-WONKA@FE171691/AcmeCDV_KRP-TDI_WONKA_20260624085829_282781.zip",132384,"ssh","true","BINARY","06/24/2026 23:50:29.712","06/24/2026 23:50:31.180","1.468 s","198.51.100.80","22","UNKNOWN","454f4bda-0d41-4363-b291-13cbb0dede19","33334c6b77734b51415a676f3961627732566f49506c4977786134457173334e45784e314f7479312f4e693d","06/24/2026 23:50:28.914","UNKNOWN","UNKNOWN","d584d366-eb03-4269-9960-b5f915b802bd","false","UNKNOWN","UNKNOWN","Cipher: aes128-gcm@openssh.com, MAC: <implicit>, Key Exchange: diffie-hellman-group16-sha512, Public Key: rsa-sha2-256.",Ssh Default,"UNKNOWN","192.0.2.76"
"Processed","SECURETRANSPORT","P00001_CFT01","VirtClass","Virtual","FlowManagerApplication","P00001_CFT01","Outbound","Server","AcmeIT_RECON_HOOLI_20260624085215_883421.csv","UNKNOWN","IT_RECON_HOOLI","FILE","/","AcmeIT_RECON_HOOLI_20260624085215_883421.csv","/","Scanning was not performed","/data/FlowManager/SECURETRANSPORT/AcmeIT_RECON_HOOLI_20260624085215_883421.csv",6761,"pesit","true","BINARY","06/24/2026 23:40:18.048","06/24/2026 23:40:18.628","580 ms","192.0.2.20","17627","UNKNOWN","0fd3ea72-0183-4696-bf19-e6ac28db6635","62464741357a55384c445a6a59566a412f5852423839666d4d7545394c4b3570324d634137784963466a363d","06/24/2026 23:40:16.474","UNKNOWN","UNKNOWN","f23c6995-b7c7-47f2-9c73-04cd42724c91","false","UNKNOWN","UNKNOWN","Protocol: TLSv1.3 Cipher suite: TLS_AES_128_GCM_SHA256.",Pesit Default,"UNKNOWN","192.0.2.76"
"Processed","IT_RECON_HOOLI","UNKNOWN","VirtClass","Virtual","FlowManagerApplication","UC3_IT_RECON_HOOLI_SCP_IT_RECON_HOOLI_PWD","Inbound","Server","AcmeIT_RECON_HOOLI_20260624085215_883421.csv","UNKNOWN","UNKNOWN","FILE","Upload/","AcmeIT_RECON_HOOLI_20260624085215_883421.csv","/","ALLOWED;ICAP server Name: acme-av;ICAP server URL: icap://av.mft.acme.example:1344/AVSCAN;Duration of Scanning: 67 ms;ICAP Status: 204 No Modifications Needed;Result of Scanning: ALLOW;ResultMessage: Transfer ALLOWED. ICAP status: 204 No Modifications Needed;Custom Headers: None#","/data/FlowManager/IT_RECON_HOOLI/AcmeIT_RECON_HOOLI_20260624085215_883421.csv",6761,"ssh","true","BINARY","06/24/2026 23:40:15.687","06/24/2026 23:40:16.719","1.032 s","transfer.hooli.example","22","UNKNOWN","d07c9455-97d0-4fd2-8dad-b122328229f4","74777a4c6f4d483077796d67362f515054536c68363533656b6c576948507049786c7a7a77566a3558514b3d","06/24/2026 23:40:14.683","UNKNOWN","UNKNOWN","f23c6995-b7c7-47f2-9c73-04cd42724c91","false","UNKNOWN","UNKNOWN","Cipher: aes128-ctr, MAC: hmac-sha2-256, Key Exchange: curve25519-sha256, Public Key: rsa-sha2-256.",Ssh Default,"UNKNOWN","192.0.2.76"
"Processed","INFRA_ST-MONITOR_INFRA@FE000000","FE000000","VirtClass","Virtual","FlowManagerApplication","UC3-INFRA_ST-MONITOR_INFRA","Outbound","Server","monitor_20260624_233000.txt","UNKNOWN","INFRA-MONITOR-UC3","FILE","/","monitor_20260624_233000.txt","/","Scanning was not performed","/data/FlowManager/INFRA_ST-MONITOR_INFRA@FE000000/monitor_20260624_233000.txt",16,"pesit","true","BINARY","06/24/2026 23:35:15.527","06/24/2026 23:35:16.687","1.160 s","UNKNOWN","17627","UNKNOWN","f9d94a8a-e2c7-48be-8037-5a5b451715f3","6e51466253484b2b4c5348462f30576a5835676d58366c50446d2b6177455337434a71775555736c5a48563d","06/24/2026 23:35:01.995","UNKNOWN","UNKNOWN","8cf805a6-fa7c-40f7-b043-e693f92a467f","false","UNKNOWN","UNKNOWN","null",Pesit Default,"UNKNOWN","192.0.2.76"
"Processed","INFRA_ST-MONITOR_INFRA@FE000000","FE000000","VirtClass","Virtual","FlowManagerApplication","UC2-INFRA_ST-MONITOR_INFRA","Outbound","User","monitor_20260624_233000.txt","UNKNOWN","INFRA-MONITOR-UC2","FILE","/","monitor_20260624_233000.txt","/","Scanning was not performed","/data/FlowManager/INFRA_ST-MONITOR_INFRA@FE000000/monitor_20260624_233000.txt",16,"ssh","true","BINARY","06/24/2026 23:35:07.660","06/24/2026 23:35:15.062","7.402 s","192.0.2.77","22","UNKNOWN","9c5afa50-d026-4799-aa17-4eb7e790a0b5","59524b356266527a65543245456464414e506e484871395a633675615533425736784166635637564f514b3d","06/24/2026 23:34:55.383","UNKNOWN","UNKNOWN","8c264e77-9a41-433e-9a13-e377a0046cf2","false","UNKNOWN","UNKNOWN","Cipher: aes128-ctr, MAC: hmac-sha2-256, Key Exchange: diffie-hellman-group-exchange-sha256, Public Key: ssh-rsa.",Ssh Default,"UNKNOWN","192.0.2.76"
"Processed","INFRA_ST-MONITOR_INFRA@FE000000","FE000000","VirtClass","Virtual","FlowManagerApplication","UC3-INFRA_ST-MONITOR_INFRA","Inbound","User","monitor_20260624_233000.txt","UNKNOWN","INFRA-MONITOR-UC3","FILE","Upload/","monitor_20260624_233000.txt","/","Scanning was not performed","/data/FlowManager/INFRA_ST-MONITOR_INFRA@FE000000/monitor_20260624_233000.txt",16,"ssh","true","BINARY","06/24/2026 23:35:07.073","06/24/2026 23:35:14.006","6.933 s","filetransfer.acme.example","22","UNKNOWN","d6e826a6-878a-4a6a-987c-bff17a394b44","6e51466253484b2b4c5348462f30576a5835676d58366c50446d2b6177455337434a71775555736c5a48563d","06/24/2026 23:34:55.090","UNKNOWN","UNKNOWN","8cf805a6-fa7c-40f7-b043-e693f92a467f","false","UNKNOWN","UNKNOWN","Cipher: aes128-ctr, MAC: hmac-sha2-256, Key Exchange: diffie-hellman-group-exchange-sha256, Public Key: ssh-rsa.",Ssh Default,"UNKNOWN","192.0.2.76"
"Processed","INFRA_ST-MONITOR_INFRA@FE000000","FE000000","VirtClass","Virtual","FlowManagerApplication","UC2-INFRA_ST-MONITOR_INFRA","Inbound","Server","monitor_20260624_233000.txt","UNKNOWN","INFRA-MONITOR-UC2","FILE","Upload/","monitor_20260624_233000.txt","/","Scanning was not performed","/data/FlowManager/INFRA_ST-MONITOR_INFRA@FE000000/monitor_20260624_233000.txt",16,"routing","true","BINARY","06/24/2026 23:31:59.883","06/24/2026 23:32:00.321","438 ms","UNKNOWN","UNKNOWN","UNKNOWN","1de9dfe3-ca6e-42aa-b7b2-d991f09f8b1a","59524b356266527a65543245456464414e506e484871395a633675615533425736784166635637564f514b3d","06/24/2026 23:31:44.366","UNKNOWN","UNKNOWN","8c264e77-9a41-433e-9a13-e377a0046cf2","false","UNKNOWN","UNKNOWN","null",UNKNOWN,"UNKNOWN","192.0.2.76"
"Processed","INFRA_ST-MONITOR_INFRA@FE000000","FE000000","VirtClass","Virtual","FlowManagerApplication","UC2-INFRA_ST-MONITOR_INFRA","Outbound","Server","monitor_20260624_233000.txt","UNKNOWN","INFRA-MONITOR-UC2","FILE","/","monitor_20260624_233000.txt","/","Scanning was not performed","/data/FlowManager/INFRA_ST-MONITOR_INFRA@FE000000/monitor_20260624_233000.txt",16,"routing","true","BINARY","06/24/2026 23:31:58.957","06/24/2026 23:31:59.192","235 ms","UNKNOWN","UNKNOWN","UNKNOWN","8f109c82-3b7a-4db9-8424-913ead195920","59524b356266527a65543245456464414e506e484871395a633675615533425736784166635637564f514b3d","06/24/2026 23:31:44.402","UNKNOWN","UNKNOWN","8c264e77-9a41-433e-9a13-e377a0046cf2","false","UNKNOWN","UNKNOWN","null",UNKNOWN,"UNKNOWN","192.0.2.76"
"Processed","INFRA_ST-MONITOR_INFRA@FE000000","FE000000","VirtClass","Virtual","FlowManagerApplication","UC2-INFRA_ST-MONITOR_INFRA","Inbound","User","INFRA-MONITOR-UC2","UNKNOWN","INFRA-MONITOR-UC2","FILE","Upload/","monitor_20260624_233000.txt","/","Scanning was not performed","/data/FlowManager/INFRA_ST-MONITOR_INFRA@FE000000/monitor_20260624_233000.txt",16,"pesit","true","BINARY","06/24/2026 23:31:57.081","06/24/2026 23:31:57.915","834 ms","UNKNOWN","17627","UNKNOWN","540e9961-baf4-4eaf-a8a2-fb416f696013","59524b356266527a65543245456464414e506e484871395a633675615533425736784166635637564f514b3d","06/24/2026 23:31:40.237","UNKNOWN","UNKNOWN","8c264e77-9a41-433e-9a13-e377a0046cf2","false","UNKNOWN","UNKNOWN","null",Pesit Default,"UNKNOWN","192.0.2.76"
