Status, Account, Login, UserClass, UserType, Application, Transfer Site, Direction, Action By, File, Remote Partner, Transfer Profile, Transfer Content Type, Remote Folder, Local Filename, Local Folder, ICAP Details, Local File, Size, Protocol, Secure, Mode, Start Time, End Time, Duration, Remote Host, Remote Port, Proxy Host, Transfer ID, Session ID, Session Start Time, Operation Index, Pesit Message, CoreId, Resubmitted, Additional info, X-Forwarded-For, SecurityParameters, Server Name, Alternated Addresses, Server Address
"Processed","SECURETRANSPORT","P00001_CFT01","VirtClass","Virtual","FlowManagerApplication","P00001_CFT01","Outbound","Server","AcmeSI_TELEMETRY_STARK_20260626086366_370081.xml","UNKNOWN","SI_TELEMETRY_STARK","FILE","/","AcmeSI_TELEMETRY_STARK_20260626086366_370081.xml","/","Scanning was not performed","/data/FlowManager/SECURETRANSPORT/AcmeSI_TELEMETRY_STARK_20260626086366_370081.xml",199325,"pesit","true","BINARY","06/26/2026 23:59:35.847","06/26/2026 23:59:36.785","938 ms","192.0.2.20","17627","UNKNOWN","a2d84998-a5b0-4e37-b522-ca19531b35a5","667a31364959646b647256714e2f5342533838676d6c31726261724b5739674631306e444d61463747384e3d","06/26/2026 23:59:35.057","UNKNOWN","UNKNOWN","bb590857-a899-4dd8-81ce-18df01aa7f9c","false","UNKNOWN","UNKNOWN","Protocol: TLSv1.3 Cipher suite: TLS_AES_128_GCM_SHA256.",Pesit Default,"UNKNOWN","192.0.2.76"
"Processed","SI_TELEMETRY_STARK","UNKNOWN","VirtClass","Virtual","FlowManagerApplication","UC3_SI_TELEMETRY_STARK_SCP_SI_TELEMETRY_STARK_KEY","Inbound","Server","AcmeSI_TELEMETRY_STARK_20260626086366_370081.xml","UNKNOWN","UNKNOWN","FILE","Upload/","AcmeSI_TELEMETRY_STARK_20260626086366_370081.xml","/","ALLOWED;ICAP server Name: acme-av;ICAP server URL: icap://av.mft.acme.example:1344/AVSCAN;Duration of Scanning: 154 ms;ICAP Status: 204 No Modifications Needed;Result of Scanning: ALLOW;ResultMessage: Transfer ALLOWED. ICAP status: 204 No Modifications Needed;Custom Headers: None#","/data/FlowManager/SI_TELEMETRY_STARK/AcmeSI_TELEMETRY_STARK_20260626086366_370081.xml",199325,"ssh","true","BINARY","06/26/2026 23:59:26.503","06/26/2026 23:59:33.778","7.275 s","sftp.stark.example","22","UNKNOWN","47c22a5b-d97a-4051-a64e-d2308894dfc7","5a53316b5342646a45476d3643584f34713152734b6d596266466a393557704a6e695968334949614136313d","06/26/2026 23:59:25.905","UNKNOWN","UNKNOWN","bb590857-a899-4dd8-81ce-18df01aa7f9c","false","UNKNOWN","UNKNOWN","Cipher: aes128-ctr, MAC: hmac-sha2-256, Key Exchange: diffie-hellman-group-exchange-sha256, Public Key: ssh-rsa.",Ssh Default,"UNKNOWN","192.0.2.76"
"Failed","SECURETRANSPORT","P00001_CFT01","VirtClass","Virtual","FlowManagerApplication","P00001_CFT01","Outbound","Server","AcmeSI_ROS_SABRE_20260626084044_943528.dat","UNKNOWN","SI_ROS_SABRE","FILE","/","AcmeSI_ROS_SABRE_20260626084044_943528.dat","/","Scanning was not performed","/data/FlowManager/SECURETRANSPORT/AcmeSI_ROS_SABRE_20260626084044_943528.dat",0,"pesit","true","BINARY","06/26/2026 23:48:56.715","06/26/2026 23:49:58.706","1 min 1.991 s","192.0.2.20","17627","UNKNOWN","3db696d4-38e4-408d-9b6a-26fb4e80ced2","5334344957714370436846527a5442772b456e484733697a4f71677452667a6779546e766766446c5051723d","06/26/2026 23:48:54.719","UNKNOWN","UNKNOWN","7a708f87-0fab-4c0c-8cfa-5d632965e4ee","false","UNKNOWN","UNKNOWN","Protocol: TLSv1.2 Cipher suite: TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384.",Pesit Default,"UNKNOWN","192.0.2.76"
"Failed","SECURETRANSPORT","P00001_CFT01","VirtClass","Virtual","FlowManagerApplication","P00001_CFT01","Outbound","Server","AcmeCB_ISOLATED_SOYLENT_20260626078272_285690.txt.pgp","UNKNOWN","UNKNOWN","FILE","/","AcmeCB_ISOLATED_SOYLENT_20260626078272_285690.txt.pgp","/","Scanning was not performed","/data/FlowManager/SECURETRANSPORT/AcmeCB_ISOLATED_SOYLENT_20260626078272_285690.txt.pgp",0,"pesit","true","BINARY","06/26/2026 23:43:35.624","06/26/2026 23:44:33.749","58.125 s","192.0.2.20","17627","UNKNOWN","6523eabb-cd33-4eed-aed7-0b07298ccf04","392b5542306d4245702f6c6f2f704d31694b706930746a706e786a504b6e4e5133563253664a752f6656743d","06/26/2026 23:43:35.118","UNKNOWN","UNKNOWN","bae7c417-cf50-495f-bf46-10fc4698b709","false","UNKNOWN","UNKNOWN","Protocol: TLSv1.3 Cipher suite: TLS_AES_128_GCM_SHA256.",Pesit Default,"UNKNOWN","192.0.2.76"
"Failed","SECURETRANSPORT","P00001_CFT01","VirtClass","Virtual","FlowManagerApplication","P00001_CFT01","Outbound","Server","AcmeSI_ROS_SABRE_20260626084044_943528.dat","UNKNOWN","SI_ROS_SABRE","FILE","/","AcmeSI_ROS_SABRE_20260626084044_943528.dat","/","Scanning was not performed","/data/FlowManager/SECURETRANSPORT/AcmeSI_ROS_SABRE_20260626084044_943528.dat",0,"pesit","true","BINARY","06/26/2026 23:41:28.252","06/26/2026 23:42:28.209","59.957 s","192.0.2.20","17627","UNKNOWN","0365ed48-3909-4aaf-bf2a-e2a360688297","5334344957714370436846527a5442772b456e484733697a4f71677452667a6779546e766766446c5051723d","06/26/2026 23:41:26.748","UNKNOWN","UNKNOWN","7a708f87-0fab-4c0c-8cfa-5d632965e4ee","false","UNKNOWN","UNKNOWN","Protocol: TLSv1.3 Cipher suite: TLS_AES_128_GCM_SHA256.",Pesit Default,"UNKNOWN","192.0.2.76"
"Processed","INFRA_ST-MONITOR_INFRA@FE000000","FE000000","VirtClass","Virtual","FlowManagerApplication","UC3-INFRA_ST-MONITOR_INFRA","Outbound","Server","monitor_20260626_233000.txt","UNKNOWN","INFRA-MONITOR-UC3","FILE","/","monitor_20260626_233000.txt","/","Scanning was not performed","/data/FlowManager/INFRA_ST-MONITOR_INFRA@FE000000/monitor_20260626_233000.txt",16,"pesit","true","BINARY","06/26/2026 23:35:12.450","06/26/2026 23:35:13.182","732 ms","UNKNOWN","17627","UNKNOWN","d90653dd-e206-40d8-a068-0fcea0d3ac0d","734d69366b2b726b6a6f326f706b35346b3977587632765942684361466c447133303873364d7451746c4e3d","06/26/2026 23:35:01.320","UNKNOWN","UNKNOWN","fe7ddd3c-a628-4b8e-b582-fa3dc93de987","false","UNKNOWN","UNKNOWN","null",Pesit Default,"UNKNOWN","192.0.2.76"
"Processed","INFRA_ST-MONITOR_INFRA@FE000000","FE000000","VirtClass","Virtual","FlowManagerApplication","UC2-INFRA_ST-MONITOR_INFRA","Outbound","User","monitor_20260626_233000.txt","UNKNOWN","INFRA-MONITOR-UC2","FILE","/","monitor_20260626_233000.txt","/","Scanning was not performed","/data/FlowManager/INFRA_ST-MONITOR_INFRA@FE000000/monitor_20260626_233000.txt",16,"ssh","true","BINARY","06/26/2026 23:35:07.063","06/26/2026 23:35:11.331","4.268 s","192.0.2.77","22","UNKNOWN","f192c66b-b56b-4bf4-a8cb-017f6486d684","5264364f394d6538774e7a763761596775627a344c38662f766f59592f4539687436555a4a465a423930443d","06/26/2026 23:34:58.618","UNKNOWN","UNKNOWN","e22e5491-2146-499c-a92a-9757050da90a","false","UNKNOWN","UNKNOWN","Cipher: aes128-ctr, MAC: hmac-sha2-256, Key Exchange: diffie-hellman-group-exchange-sha256, Public Key: ssh-rsa.",Ssh Default,"UNKNOWN","192.0.2.76"
"Processed","INFRA_ST-MONITOR_INFRA@FE000000","FE000000","VirtClass","Virtual","FlowManagerApplication","UC3-INFRA_ST-MONITOR_INFRA","Inbound","User","monitor_20260626_233000.txt","UNKNOWN","INFRA-MONITOR-UC3","FILE","Upload/","monitor_20260626_233000.txt","/","Scanning was not performed","/data/FlowManager/INFRA_ST-MONITOR_INFRA@FE000000/monitor_20260626_233000.txt",16,"ssh","true","BINARY","06/26/2026 23:35:06.467","06/26/2026 23:35:09.986","3.519 s","filetransfer.acme.example","22","UNKNOWN","c8e3d8fd-065b-4635-a97b-63787b3ca4cd","734d69366b2b726b6a6f326f706b35346b3977587632765942684361466c447133303873364d7451746c4e3d","06/26/2026 23:34:57.072","UNKNOWN","UNKNOWN","fe7ddd3c-a628-4b8e-b582-fa3dc93de987","false","UNKNOWN","UNKNOWN","Cipher: aes128-ctr, MAC: hmac-sha2-256, Key Exchange: diffie-hellman-group-exchange-sha256, Public Key: ssh-rsa.",Ssh Default,"UNKNOWN","192.0.2.76"
"Failed","SECURETRANSPORT","P00001_CFT01","VirtClass","Virtual","FlowManagerApplication","P00001_CFT01","Outbound","Server","AcmeSI_ROS_SABRE_20260626084044_943528.dat","UNKNOWN","SI_ROS_SABRE","FILE","/","AcmeSI_ROS_SABRE_20260626084044_943528.dat","/","Scanning was not performed","/data/FlowManager/SECURETRANSPORT/AcmeSI_ROS_SABRE_20260626084044_943528.dat",0,"pesit","true","BINARY","06/26/2026 23:34:18.056","06/26/2026 23:35:19.281","1 min 1.225 s","192.0.2.20","17627","UNKNOWN","bf789026-be0e-4b42-b9a5-59cc915035b7","5334344957714370436846527a5442772b456e484733697a4f71677452667a6779546e766766446c5051723d","06/26/2026 23:34:16.976","UNKNOWN","UNKNOWN","7a708f87-0fab-4c0c-8cfa-5d632965e4ee","false","UNKNOWN","UNKNOWN","Protocol: TLSv1.3 Cipher suite: TLS_AES_128_GCM_SHA256.",Pesit Default,"UNKNOWN","192.0.2.76"
"Processed","INFRA_ST-MONITOR_INFRA@FE000000","FE000000","VirtClass","Virtual","FlowManagerApplication","UC2-INFRA_ST-MONITOR_INFRA","Inbound","Server","monitor_20260626_233000.txt","UNKNOWN","INFRA-MONITOR-UC2","FILE","Upload/","monitor_20260626_233000.txt","/","Scanning was not performed","/data/FlowManager/INFRA_ST-MONITOR_INFRA@FE000000/monitor_20260626_233000.txt",16,"routing","true","BINARY","06/26/2026 23:32:00.944","06/26/2026 23:32:01.261","317 ms","UNKNOWN","UNKNOWN","UNKNOWN","bdefa7af-ec23-41ca-9df2-755d31c9908d","5264364f394d6538774e7a763761596775627a344c38662f766f59592f4539687436555a4a465a423930443d","06/26/2026 23:31:50.962","UNKNOWN","UNKNOWN","e22e5491-2146-499c-a92a-9757050da90a","false","UNKNOWN","UNKNOWN","null",UNKNOWN,"UNKNOWN","192.0.2.76"
