00422b9b-efef-4511-ad64-878e9b5e6980	UC2_CB_VIDA_WAYNE	CB_VIDA_WAYNE
0373afac-7a83-4652-8f60-65d2edbe6cc1	UC2_APS_VIDA_UMBRELLA	APS_VIDA_UMBRELLA
06b6d80e-bd5f-4c49-9ff5-0ddea5c67ed4	CRM_SYNC_INITECH	CRM_SYNC_INITECH
14286982-02db-4b92-9421-1077f4e10b13	UC1_FS_MORTGAGE_SABRE	FS_MORTGAGE_SABRE
1abb19a8-961d-472b-b95e-95612481a436	STMT_EXPORT_GLOBEX_01	STMT_EXPORT_GLOBEX_01
1abb19a8-961d-472b-b95e-95612481a436	STMT_EXPORT_GLOBEX_02	STMT_EXPORT_GLOBEX_02
1abb19a8-961d-472b-b95e-95612481a436	STMT_EXPORT_GLOBEX_03	STMT_EXPORT_GLOBEX_03
1abb19a8-961d-472b-b95e-95612481a436	STMT_EXPORT_GLOBEX_04	STMT_EXPORT_GLOBEX_04
1abb19a8-961d-472b-b95e-95612481a436	STMT_EXPORT_GLOBEX_05	STMT_EXPORT_GLOBEX_05
1abb19a8-961d-472b-b95e-95612481a436	STMT_EXPORT_GLOBEX_06	STMT_EXPORT_GLOBEX_06
1abb19a8-961d-472b-b95e-95612481a436	STMT_EXPORT_GLOBEX_07	STMT_EXPORT_GLOBEX_07
1abb19a8-961d-472b-b95e-95612481a436	STMT_EXPORT_GLOBEX_08	STMT_EXPORT_GLOBEX_08
1d0e8d55-f782-4b5b-b863-d8b44ff3edf7	UC3_APS_SYSHUB_SOYLENT	APS_SYSHUB_SOYLENT
1f5d2b72-78ac-47d2-8bcd-cfd9e6fcab76	UC4_ZG_ZKA_HOOLI	ZG_ZKA_HOOLI
2e016249-c576-4022-92ed-b7a8b0eda4a6	UC1_FIN_BILLING_GLOBEX	FIN_BILLING_GLOBEX
4786e1a0-f754-4e5b-a525-dd2e32545387	UC1_AB_CLAIMS_UMBRELLA	AB_CLAIMS_UMBRELLA
4b3b2fb7-a6a4-4974-9f27-4caa676d357b	UC1_APS_INVOICE_STARK	APS_INVOICE_STARK
