Status, Account, Login, UserClass, UserType, Application, Transfer Site, Direction, Action By, File, Remote Partner, Transfer Profile, Transfer Content Type, Remote Folder, Local Filename, Local Folder, ICAP Details, Local File, Size, Protocol, Secure, Mode, Start Time, End Time, Duration, Remote Host, Remote Port, Proxy Host, Transfer ID, Session ID, Session Start Time, Operation Index, Pesit Message, CoreId, Resubmitted, Additional info, X-Forwarded-For, SecurityParameters, Server Name, Alternated Addresses, Server Address
"Processed","INFRA_ST-MONITOR_INFRA@FE000000","FE000000","VirtClass","Virtual","FlowManagerApplication","UC3-INFRA_ST-MONITOR_INFRA","Outbound","Server","monitor_20260829_233000.txt","UNKNOWN","INFRA-MONITOR-UC3","FILE","/","monitor_20260829_233000.txt","/","Scanning was not performed","/data/FlowManager/INFRA_ST-MONITOR_INFRA@FE000000/monitor_20260829_233000.txt",16,"pesit","true","BINARY","08/29/2026 23:35:21.249","08/29/2026 23:35:22.023","774 ms","UNKNOWN","17627","UNKNOWN","c8034564-b7a0-47d6-b8be-958978b36d34","32646447323057764b75534d796c7264474966586d48576e7132584545456f785a58696943645654436d433d","08/29/2026 23:35:12.592","UNKNOWN","UNKNOWN","4ced9082-46e9-4abc-8d3f-61fa8c189ad4","false","UNKNOWN","UNKNOWN","null",Pesit Default,"UNKNOWN","192.0.2.76"
"Processed","INFRA_ST-MONITOR_INFRA@FE000000","FE000000","VirtClass","Virtual","FlowManagerApplication","UC2-INFRA_ST-MONITOR_INFRA","Outbound","User","monitor_20260829_233000.txt","UNKNOWN","INFRA-MONITOR-UC2","FILE","/","monitor_20260829_233000.txt","/","Scanning was not performed","/data/FlowManager/INFRA_ST-MONITOR_INFRA@FE000000/monitor_20260829_233000.txt",16,"ssh","true","BINARY","08/29/2026 23:35:08.535","08/29/2026 23:35:14.285","5.750 s","192.0.2.77","22","UNKNOWN","d09a6867-5163-441d-a8bd-5ea6f3760720","6c61394a4d6261476b424744336351476e552f422b474b437a44523334586b5759672b6948594b6a776d4e3d","08/29/2026 23:34:59.153","UNKNOWN","UNKNOWN","7d530d4b-f72a-4025-a6b6-81d8c0883623","false","UNKNOWN","UNKNOWN","Cipher: aes128-ctr, MAC: hmac-sha2-256, Key Exchange: diffie-hellman-group-exchange-sha256, Public Key: ssh-rsa.",Ssh Default,"UNKNOWN","192.0.2.76"
"Processed","INFRA_ST-MONITOR_INFRA@FE000000","FE000000","VirtClass","Virtual","FlowManagerApplication","UC3-INFRA_ST-MONITOR_INFRA","Inbound","User","monitor_20260829_233000.txt","UNKNOWN","INFRA-MONITOR-UC3","FILE","Upload/","monitor_20260829_233000.txt","/","Scanning was not performed","/data/FlowManager/INFRA_ST-MONITOR_INFRA@FE000000/monitor_20260829_233000.txt",16,"ssh","true","BINARY","08/29/2026 23:35:08.223","08/29/2026 23:35:13.470","5.247 s","filetransfer.acme.example","22","UNKNOWN","fd589d3d-27be-4328-92ed-f2722430dbe2","32646447323057764b75534d796c7264474966586d48576e7132584545456f785a58696943645654436d433d","08/29/2026 23:34:59.443","UNKNOWN","UNKNOWN","4ced9082-46e9-4abc-8d3f-61fa8c189ad4","false","UNKNOWN","UNKNOWN","Cipher: aes128-ctr, MAC: hmac-sha2-256, Key Exchange: diffie-hellman-group-exchange-sha256, Public Key: ssh-rsa.",Ssh Default,"UNKNOWN","192.0.2.76"
"Processed","INFRA_ST-MONITOR_INFRA@FE000000","FE000000","VirtClass","Virtual","FlowManagerApplication","UC2-INFRA_ST-MONITOR_INFRA","Inbound","Server","monitor_20260829_233000.txt","UNKNOWN","INFRA-MONITOR-UC2","FILE","Upload/","monitor_20260829_233000.txt","/","Scanning was not performed","/data/FlowManager/INFRA_ST-MONITOR_INFRA@FE000000/monitor_20260829_233000.txt",16,"routing","true","BINARY","08/29/2026 23:32:05.293","08/29/2026 23:32:05.686","393 ms","UNKNOWN","UNKNOWN","UNKNOWN","d9482ef3-945b-41a5-8034-0f399b29de74","6c61394a4d6261476b424744336351476e552f422b474b437a44523334586b5759672b6948594b6a776d4e3d","08/29/2026 23:31:24.589","UNKNOWN","UNKNOWN","7d530d4b-f72a-4025-a6b6-81d8c0883623","false","UNKNOWN","UNKNOWN","null",UNKNOWN,"UNKNOWN","192.0.2.76"
"Processed","INFRA_ST-MONITOR_INFRA@FE000000","FE000000","VirtClass","Virtual","FlowManagerApplication","UC2-INFRA_ST-MONITOR_INFRA","Outbound","Server","monitor_20260829_233000.txt","UNKNOWN","INFRA-MONITOR-UC2","FILE","/","monitor_20260829_233000.txt","/","Scanning was not performed","/data/FlowManager/INFRA_ST-MONITOR_INFRA@FE000000/monitor_20260829_233000.txt",16,"routing","true","BINARY","08/29/2026 23:32:04.492","08/29/2026 23:32:04.782","290 ms","UNKNOWN","UNKNOWN","UNKNOWN","d2738c62-ae82-40f4-a281-fb55a7995f85","6c61394a4d6261476b424744336351476e552f422b474b437a44523334586b5759672b6948594b6a776d4e3d","08/29/2026 23:31:56.068","UNKNOWN","UNKNOWN","7d530d4b-f72a-4025-a6b6-81d8c0883623","false","UNKNOWN","UNKNOWN","null",UNKNOWN,"UNKNOWN","192.0.2.76"
"Processed","INFRA_ST-MONITOR_INFRA@FE000000","FE000000","VirtClass","Virtual","FlowManagerApplication","UC2-INFRA_ST-MONITOR_INFRA","Inbound","User","INFRA-MONITOR-UC2","UNKNOWN","INFRA-MONITOR-UC2","FILE","Upload/","monitor_20260829_233000.txt","/","Scanning was not performed","/data/FlowManager/INFRA_ST-MONITOR_INFRA@FE000000/monitor_20260829_233000.txt",16,"pesit","true","BINARY","08/29/2026 23:32:03.228","08/29/2026 23:32:03.944","716 ms","UNKNOWN","17627","UNKNOWN","96689a4c-f88d-407e-a85d-54d6da132328","6c61394a4d6261476b424744336351476e552f422b474b437a44523334586b5759672b6948594b6a776d4e3d","08/29/2026 23:31:52.640","UNKNOWN","UNKNOWN","7d530d4b-f72a-4025-a6b6-81d8c0883623","false","UNKNOWN","UNKNOWN","null",Pesit Default,"UNKNOWN","192.0.2.76"
"Processed","INFRA_ST-MONITOR_INFRA@FE000000","FE000000","VirtClass","Virtual","FlowManagerApplication","UC4-INFRA_ST-MONITOR_INFRA","Outbound","Server","monitor_20260829_233000.txt","UNKNOWN","INFRA-MONITOR-UC4","FILE","/","monitor_20260829_233000.txt","/","Scanning was not performed","/data/FlowManager/INFRA_ST-MONITOR_INFRA@FE000000/monitor_20260829_233000.txt",16,"pesit","true","BINARY","08/29/2026 23:30:54.375","08/29/2026 23:30:55.083","708 ms","UNKNOWN","17627","UNKNOWN","061bee93-0f5b-45fa-a4f6-84e8c8643ec4","347877325759463469304d2f78654b38584948706177337170377a6f326948446d5874456d4a5a372b564e3d","08/29/2026 23:30:41.658","UNKNOWN","UNKNOWN","fdb6c0c7-7f5d-4ea2-b827-abaf9dade92d","false","UNKNOWN","UNKNOWN","null",Pesit Default,"UNKNOWN","192.0.2.76"
"Processed","INFRA_ST-MONITOR_INFRA@FE000000","FE000000","VirtClass","Virtual","FlowManagerApplication","UC4-INFRA_ST-MONITOR_INFRA","Inbound","User","monitor_20260829_233000.txt","UNKNOWN","INFRA-MONITOR-UC4","FILE","Upload/","monitor_20260829_233000.txt","/","Scanning was not performed","/data/FlowManager/INFRA_ST-MONITOR_INFRA@FE000000/monitor_20260829_233000.txt",16,"ssh","true","BINARY","08/29/2026 23:30:47.633","08/29/2026 23:30:53.532","5.899 s","192.0.2.77","22","UNKNOWN","93fa2abe-3001-494f-8137-be622f038659","347877325759463469304d2f78654b38584948706177337170377a6f326948446d5874456d4a5a372b564e3d","08/29/2026 23:30:31.427","UNKNOWN","UNKNOWN","fdb6c0c7-7f5d-4ea2-b827-abaf9dade92d","false","UNKNOWN","UNKNOWN","Cipher: aes128-ctr, MAC: hmac-sha2-256, Key Exchange: diffie-hellman-group-exchange-sha256, Public Key: ssh-rsa.",Ssh Default,"UNKNOWN","192.0.2.76"
"Processed","INFRA_ST-MONITOR_INFRA@FE000000","FE000000","VirtClass","Virtual","FlowManagerApplication","UC1-INFRA_ST-MONITOR_INFRA","Outbound","User","monitor_20260829_233000.txt","UNKNOWN","INFRA-MONITOR-UC1","FILE","/","monitor_20260829_233000.txt","/","Scanning was not performed","/data/FlowManager/INFRA_ST-MONITOR_INFRA@FE000000/monitor_20260829_233000.txt",16,"ssh","true","BINARY","08/29/2026 23:30:46.755","08/29/2026 23:30:53.176","6.421 s","filetransfer.acme.example","22","UNKNOWN","9ab8c80f-753e-46e4-bf0a-7f26a4003a36","6a4276497135744c5032374e353830616c675677534f6442436e72377677445231592f6752704c506759523d","08/29/2026 23:30:26.424","UNKNOWN","UNKNOWN","4604e0a9-a85d-4ae6-8730-aed6a018afb0","false","UNKNOWN","UNKNOWN","Cipher: aes128-ctr, MAC: hmac-sha2-256, Key Exchange: diffie-hellman-group-exchange-sha256, Public Key: ssh-rsa.",Ssh Default,"UNKNOWN","192.0.2.76"
"Processed","INFRA_ST-MONITOR_INFRA@FE000000","FE000000","VirtClass","Virtual","FlowManagerApplication","UC1-INFRA_ST-MONITOR_INFRA","Inbound","User","INFRA-MONITOR-UC1","UNKNOWN","INFRA-MONITOR-UC1","FILE","Upload/","monitor_20260829_233000.txt","/","Scanning was not performed","/data/FlowManager/INFRA_ST-MONITOR_INFRA@FE000000/monitor_20260829_233000.txt",16,"pesit","true","BINARY","08/29/2026 23:30:37.818","08/29/2026 23:30:38.788","970 ms","UNKNOWN","17627","UNKNOWN","d4b4ae72-f588-4e73-bbfb-a76355c0c7f7","6a4276497135744c5032374e353830616c675677534f6442436e72377677445231592f6752704c506759523d","08/29/2026 23:30:26.910","UNKNOWN","UNKNOWN","4604e0a9-a85d-4ae6-8730-aed6a018afb0","false","UNKNOWN","UNKNOWN","null",Pesit Default,"UNKNOWN","192.0.2.76"
